惶惧,-1.0
惶恐,-1.0
惶恐不安,-1.0
惶然,-1.0
惶然不安,-1.0
惶悚,-1.0
惶遽,-1.0
灰溜溜,-1.0
灰头灰脸,-1.0
灰头土脸,-1.0
灰心,-1.0
灰心丧气,-1.0
回头,-1.0
悔,-1.0
悔不当初,-1.0
悔不该,-1.0
悔恨,-1.0
悔悟,-1.0
悔之不及,-1.0
悔之晚矣,-1.0
悔之无及,-1.0
魂不附体,-1.0
魂飞魄散,-1.0
魂飞天外,-1.0
火,-1.0
火急火燎,-1.0
火冒三丈,-1.0
火烧火燎,-1.0
火头上,-1.0
饥不择食,-1.0
激愤,-1.0
讥嘲,-1.0
讥刺,-1.0
讥讽,-1.0
讥讪,-1.0
讥诮,-1.0
鸡蛋里挑骨头,-1.0
极度悲哀,-1.0
极度悲伤,-1.0
急,-1.0
急巴巴,-1.0
急急巴巴,-1.0
急死,-1.0
急眼,-1.0
疾,-1.0
嫉恨,-1.0
悸栗,-1.0
忌,-1.0
忌惮,-1.0
忌恨,-1.0
见怪,-1.0
见罪,-1.0
将心比心,-1.0
将信将疑,-1.0
焦愁,-1.0
焦急,-1.0
焦虑,-1.0
焦心,-1.0
焦炙,-1.0
焦灼,-1.0
娇羞,-1.0
教训,-1.0
叫苦,-1.0
叫苦不迭,-1.0
叫苦连天,-1.0
叫骂,-1.0
叫嚣,-1.0
解气,-1.0
借古讽今,-1.0
介怀,-1.0
介意,-1.0
进退两难,-1.0
进退维谷,-1.0
惊,-1.0
惊怖,-1.0
惊诧,-1.0
惊呆,-1.0
惊怪,-1.0
惊骇,-1.0
惊慌,-1.0
惊慌失措,-1.0
惊惶,-1.0
惊惧,-1.0
惊恐,-1.0
惊怕,-1.0
惊奇,-1.0
惊奇不已,-1.0
惊叹,-1.0
惊讶,-1.0
惊疑,-1.0
惊异,-1.0
惊悚,-1.0
惊愕,-1.0
窘,-1.0
窘迫,-1.0
揪心,-1.0
疚愧,-1.0
拘束,-1.0
举棋不定,-1.0
沮,-1.0
沮丧,-1.0
惧,-1.0
惧怕,-1.0
眷顾,-1.0
觉得自己理亏,-1.0
绝望,-1.0
开炮,-1.0
看扁,-1.0
看不惯,-1.0
看不开,-1.0
看不起,-1.0
看不上,-1.0
看不上眼,-1.0
看不顺眼,-1.0
看淡,-1.0
看低,-1.0
看轻,-1.0
抗议,-1.0
苛察,-1.0
苛责,-1.0
可怜,-1.0
可惜,-1.0
恐,-1.0
恐慌,-1.0
恐惧,-1.0
口诛笔伐,-1.0
哭丧着脸,-1.0
哭笑不得,-1.0
苦闷,-1.0
苦恼,-1.0
苦涩,-1.0
宽贷,-1.0
宽假,-1.0
宽免,-1.0
宽赦,-1.0
宽恕,-1.0
宽宥,-1.0
狂怒,-1.0
亏心,-1.0
愧,-1.0
愧对,-1.0
愧汗,-1.0
愧恨,-1.0
愧悔,-1.0
愧疚,-1.0
愧怍,-1.0
愧恧,-1.0
愧赧,-1.0
困窘,-1.0
困迫,-1.0
拉不下脸,-1.0
拉不下脸来,-1.0
拉长个脸,-1.0
拉下脸,-1.0
拉下脸来,-1.0
来火,-1.0
来气,-1.0
赖,-1.0
懒得,-1.0
懒洋洋,-1.0
劳神,-1.0
老羞成怒,-1.0
冷嘲热讽,-1.0
冷淡,-1.0
怜,-1.0
怜悯,-1.0
怜惜,-1.0
怜恤,-1.0
脸红脖子粗,-1.0
脸红耳热,-1.0
脸皮薄,-1.0
脸上下不来,-1.0
凉,-1.0
两难,-1.0
亮红灯,-1.0
谅,-1.0
谅解,-1.0
虑,-1.0
乱,-1.0
乱了方寸,-1.0
骂,-1.0
骂不绝口,-1.0
骂大街,-1.0
骂得狗血淋头,-1.0
骂得狗血喷头,-1.0
骂街,-1.0
骂骂咧咧,-1.0
骂娘,-1.0
骂人,-1.0
埋没,-1.0
埋汰,-1.0
埋怨,-1.0
满不在乎,-1.0
满脸愁雾,-1.0
漫骂,-1.0
谩骂,-1.0
毛骨悚然,-1.0
冒火,-1.0
没个好脸,-1.0
没精打采,-1.0
没意思,-1.0
没有好脸,-1.0
闷,-1.0
闷沉沉,-1.0
闷闷,-1.0
闷闷不乐,-1.0
闷郁,-1.0
面斥,-1.0
面带怒色,-1.0
面带嗔色,-1.0
面面相觑,-1.0
面如死灰,-1.0
面如土色,-1.0
面无人色,-1.0
面有愧色,-1.0
面有难色,-1.0
面有愠色,-1.0
藐视,-1.0
蔑,-1.0
蔑视,-1.0
民怨沸腾,-1.0
悯,-1.0
鸣不平,-1.0
鸣冤叫屈,-1.0
摸不准,-1.0
磨不开,-1.0
抹不开,-1.0
漠然视之,-1.0
漠然置之,-1.0
漠视,-1.0
木然,-1.0
目瞪口呆,-1.0
纳罕,-1.0
难,-1.0
难过,-1.0
难堪,-1.0
难受,-1.0
难为情,-1.0
恼,-1.0
恼恨,-1.0
恼火,-1.0
恼怒,-1.0
恼羞成怒,-1.0
闹脾气,-1.0
闹情绪,-1.0
闹性子,-1.0
馁,-1.0
内疚,-1.0
腻,-1.0
腻烦,-1.0
腻歪,-1.0
腻味,-1.0
捏把汗,-1.0
捏一把汗,-1.0
怒,-1.0
怒不可遏,-1.0
怒斥,-1.0
怒冲冲,-1.0
怒发冲冠,-1.0
怒喝,-1.0
怒火冲天,-1.0
怒火中烧,-1.0
怒骂,-1.0
怒目,-1.0
怒气冲冲,-1.0
怒气冲天,-1.0
怒形于色,-1.0
怒叱,-1.0
怕,-1.0
怕生,-1.0
怕羞,-1.0
拍案而起,-1.0
排揎,-1.0
徘徊,-1.0
派不是,-1.0
旁敲侧击,-1.0
抨,-1.0
抨击,-1.0
批,-1.0
批斗,-1.0
苶,-1.0
皮里阳秋,-1.0
屁滚尿流,-1.0
偏废,-1.0
品头论足,-1.0
评头论足,-1.0
评头品足,-1.0
颇有微词,-1.0
破口大骂,-1.0
魄散魂飞,-1.0
迫不及待,-1.0
戚戚,-1.0
戚然,-1.0
七窍生烟,-1.0
凄惶,-1.0
凄切,-1.0
凄然,-1.0
凄酸,-1.0
凄婉,-1.0
凄怨,-1.0
凄恻,-1.0
歧视,-1.0
骑虎难下,-1.0
起疑心,-1.0
气,-1.0
气昂昂,-1.0
气不忿,-1.0
气不过,-1.0
气不平,-1.0
气冲冲,-1.0
气冲牛斗,-1.0
气短,-1.0
气忿,-1.0
气忿忿,-1.0
气愤,-1.0
气愤愤,-1.0
气鼓鼓,-1.0
气狠狠,-1.0
气哼哼,-1.0
气呼呼,-1.0
气乎乎,-1.0
气急败坏,-1.0
气恼,-1.0
气馁,-1.0
气头上,-1.0
气汹汹,-1.0
牵念,-1.0
迁怒,-1.0
谴,-1.0
谴责,-1.0
歉然,-1.0
歉甚,-1.0
瞧不起,-1.0
瞧不上,-1.0
瞧不上眼,-1.0
切齿,-1.0
切齿痛恨,-1.0
怯,-1.0
怯阵,-1.0
轻,-1.0
轻忽,-1.0
轻看,-1.0
轻蔑,-1.0
轻视,-1.0
清算,-1.0
穷极无聊,-1.0
饶,-1.0
饶人,-1.0
饶恕,-1.0
惹气,-1.0
人身攻击,-1.0
忍让,-1.0
柔肠百结,-1.0
柔肠寸断,-1.0
如泣如诉,-1.0
如丧考妣,-1.0
如鲠在喉,-1.0
辱骂,-1.0
撒气,-1.0
三心二意,-1.0
丧胆,-1.0
丧魂落魄,-1.0
丧气,-1.0
丧志,-1.0
扫兴,-1.0
杀气,-1.0
傻眼,-1.0
伤,-1.0
伤悲,-1.0
伤怀,-1.0
伤神,-1.0
伤心,-1.0
慑,-1.0
申斥,-1.0
申讨,-1.0
申饬,-1.0
深恶痛绝,-1.0
深以为异,-1.0
声讨,-1.0
生恐,-1.0
生怕,-1.0
生气,-1.0
生疑,-1.0
失悔,-1.0
失节,-1.0
失神,-1.0
失望,-1.0
失意,-1.0
使性子,-1.0
示不满,-1.0
示不同意,-1.0
示怒,-1.0
势成骑虎,-1.0
视同儿戏,-1.0
视同蝼蚁,-1.0
首鼠两端,-1.0
受窘,-1.0
疏,-1.0
数落,-1.0
数说,-1.0
恕,-1.0
恕宥,-1.0
说,-1.0
说不,-1.0
说风凉话,-1.0
说怪话,-1.0
酸,-1.0
酸楚,-1.0
酸溜溜,-1.0
缩头缩脑,-1.0
谈虎色变,-1.0
讨,-1.0
讨厌,-1.0
提心吊胆,-1.0
啼笑皆非,-1.0
体谅,-1.0
体念,-1.0
体惜,-1.0
体恤,-1.0
天怒人怨,-1.0
挑刺儿,-1.0
挑毛病,-1.0
同病相怜,-1.0
同情,-1.0
痛,-1.0
痛不欲生,-1.0
痛斥,-1.0
痛恶,-1.0
痛恨,-1.0
痛骂,-1.0
痛惜,-1.0
痛心,-1.0
痛心疾首,-1.0
痛责,-1.0
投诉,-1.0
兔死狐悲,-1.0
颓,-1.0
颓废,-1.0
颓靡,-1.0
颓然,-1.0
颓丧,-1.0
颓唐,-1.0
唾骂,-1.0
挖苦,-1.0
玩,-1.0
玩忽,-1.0
玩世不恭,-1.0
惋,-1.0
惋惜,-1.0
万箭穿心,-1.0
万念俱灰,-1.0
往心里去,-1.0
望而生畏,-1.0
微愠,-1.0
唯恐,-1.0
惟恐,-1.0
为难,-1.0
萎靡,-1.0
委决不下,-1.0
委靡,-1.0
委屈,-1.0
委罪,-1.0
畏,-1.0
畏忌,-1.0
畏惧,-1.0
畏葸,-1.0
闻风丧胆,-1.0
问心有愧,-1.0
窝火,-1.0
窝囊,-1.0
窝气,-1.0
窝心,-1.0
无地自容,-1.0
无精打采,-1.0
无聊,-1.0
无名火起,-1.0
无视,-1.0
无所谓,-1.0
无心,-1.0
无意,-1.0
物伤其类,-1.0
惜,-1.0
系,-1.0
系念,-1.0
戏侮,-1.0
下不来台,-1.0
下不了台,-1.0
衔恨,-1.0
衔冤,-1.0
嫌,-1.0
嫌恶,-1.0
嫌弃,-1.0
嫌厌,-1.0
嫌憎,-1.0
想不开,-1.0
向 ... 问罪,-1.0
向隅,-1.0
向隅而泣,-1.0
消沉,-1.0
小看,-1.0
小瞧,-1.0
小视,-1.0
笑骂,-1.0
泄劲,-1.0
泄气,-1.0
心胆俱裂,-1.0
心烦,-1.0
心烦意乱,-1.0
心寒,-1.0
心灰意懒,-1.0
心灰意冷,-1.0
心急,-1.0
心急火燎,-1.0
心急如焚,-1.0
心急如火,-1.0
心焦,-1.0
心焦如焚,-1.0
心惊胆颤,-1.0
心惊胆战,-1.0
心惊肉跳,-1.0
心里堵得慌,-1.0
心情沉重,-1.0
心如刀割,-1.0
心如刀绞,-1.0
心如死灰,-1.0
心酸,-1.0
